ITEM,AIN,MIN BID,IMP,NSB#,LEGAL DESCRIPTION,LOCATION,PROPERTY ADDRESS,clean_address,Latitude,Longitude
1472,2017-002-036,"$9,459",,536,TRACT # 9683 LOT 22,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1473,2017-002-040,"$7,959",,536,TRACT # 9683 LOT 26,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1474,2017-014-029,"$18,384",,536,"TRACT # 4034 LOT COM AT MOST S COR OF LOT 62 TH N 19¢22' W 64.85 FT TH S
80¢20' E 88.64 FT TO SE LINE OF SD LOT TH SW ON SD SE LINE 85.43 FT TO BEG
PART OF LOT 62",CITY-LOS ANGELES,8315 HILLCROFT DR LOS ANGELES CA 91304 2113,8315 HILLCROFT DR LOS ANGELES CA 91304,34.2237565,-118.6509775
1475,2017-015-035,"$13,892",,536,TRACT # 9889 LOT 4 BLK E,CITY-LOS ANGELES,8727 CHATLAKE DR LOS ANGELES CA 91304 2106,8727 CHATLAKE DR LOS ANGELES CA 91304,34.2286112,-118.646851
1477,2017-025-035,"$19,881",,536,TRACT # 7821 E 83.63 FT OF S 100 FT OF LOT 7,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1479,2020-027-022,"$30,438",Y,536,*TR=37199 LOT 11,CITY-LOS ANGELES,23901 STAGG ST LOS ANGELES CA 91304 6115,23901 STAGG ST LOS ANGELES CA 91304,34.210783,-118.649386
1480,2024-002-096,"$34,419",Y,536,*TR=38920 CONDOMINIUM*UNIT 50,CITY LOS ANGELES,"22040 GAULT ST UNIT 50 LOS ANGELES CA 91303
1871",22040 GAULT ST UNIT 50 LOS ANGELES CA 91303,,
1484,2063-019-031,"$17,603",,537,"*LAND DESC IN DOC 0755294,200710*TR= 2804*POR OF LOT 4",COUNTY OF LOS ANGELES,VACANT LOT,VACANT LOT,,
1487,2080-029-044,"$2,607",,537,TR=34173 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 2,CITY-CALABASAS T,VACANT LOT,VACANT LOT,,
1489,2104-002-017,"$112,829",Y,539,"TRACT NO 11736 E 81.O3 FT MEASURED ON S L1NE OF LOT 4O AND E 81.O3 FT OF
LOTS 41& 42 AND LOT 43",CITY-LOS ANGELES,19106 CANTARA ST LOS ANGELES CA 91335 1112,19106 CANTARA ST LOS ANGELES CA 91335,34.219173,-118.5494515
1490,2104-025-006,"$13,566",Y,539,TRACT # 20785 LOT 6,CITY-LOS ANGELES,7355 DONNA AVE LOS ANGELES CA 91335 2506,7355 DONNA AVE LOS ANGELES CA 91335,34.2045496,-118.5485283
1491,2104-032-044,"$31,216",,539,P M 354-12-13 LOT B,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1492,2106-018-012,"$4,190",Y,536,TRACT NO 1O456 LOT 162,CITY-LOS ANGELES,8205 HATILLO AVE LOS ANGELES CA 91306 1911,8205 HATILLO AVE LOS ANGELES CA 91306,34.2182204,-118.5656633
1493,2106-025-009,"$1,682",Y,536,TRACT NO 27875 LOT 3,CITY-LOS ANGELES,"19845 HEMMINGWAY ST LOS ANGELES CA 91306
2325",19845 HEMMINGWAY ST LOS ANGELES CA 91306,34.2141128,-118.5655318
1494,2109-030-024,"$50,997",Y,536,OWENSMOUTH S 50 FT OF N 100 FT OF W 150 FT OF LOT 2 BLK 7,CITY-LOS ANGELES,7726 DEERING AVE LOS ANGELES CA 91304 5652,7726 DEERING AVE LOS ANGELES CA 91304,34.2112456,-118.596558
1495,2109-030-025,"$71,354",Y,536,OWENSMOUTH S 50 FT OF N 150 FT OF W 150 FT OF LOT 2 BLK 7,CITY-LOS ANGELES,7722 DEERING AVE LOS ANGELES CA 91304 5652,7722 DEERING AVE LOS ANGELES CA 91304,34.2111559,-118.596558
1496,2111-009-021,"$76,459",Y,536,TR=9928 E 94 FT MEASURED ON S LINES OF LOTS 1 AND 2,CITY LOS ANGELES,"7455 OWENSMOUTH AVENUE LOS ANGELES CA
91303 1334",7455 OWENSMOUTH AVENUE LOS ANGELES CA 91303,34.205645,-118.6016782
1497,2111-013-002,"$55,045",Y,536,OWENSMOUTH LOT 2 BLK 48,CITY LOS ANGELES,7348 JORDAN AVE LOS ANGELES CA 91303 1237,7348 JORDAN AVE LOS ANGELES CA 91303,,
1499,2111-019-007,"$104,376",Y,536,OWENSMOUTH N 12.5 FT OF LOT 12 AND ALL OF LOT 11 BLK 58,CITY LOS ANGELES,"7234 OWENSMOUTH AVE LOS ANGELES CA 91303
1529",7234 OWENSMOUTH AVE LOS ANGELES CA 91303,34.2016918,-118.6014684
1502,2116-001-057,"$25,353",Y,539,*TR=36972 LOT 1 CONDOMINIUM*UNIT 30,CITY-LOS ANGELES,"7308 CORBIN AVE UNIT F LOS ANGELES CA 91335
3406",7308 CORBIN AVE UNIT F LOS ANGELES CA 91335,,
1503,2118-008-024,"$2,415",Y,539,TRACT NO 175O9 LOT 10,CITY LOS ANGELES,18647 RUNNYMEDE ST LOS ANGELES CA 91335 2721,18647 RUNNYMEDE ST LOS ANGELES CA 91335,34.2057413,-118.5401617
1506,2138-008-001,"$82,061",Y,536,OWENSMOUTH LOT 1 BLK 80,CITY LOS ANGELES,"7060 OWENSMOUTH AVE LOS ANGELES CA 91303
3182",7060 OWENSMOUTH AVE LOS ANGELES CA 91303,34.1984674,-118.6014594
1510,2157-005-068,"$54,022",Y,547,TRACT NO 29212 CONDOMINIUM UNIT 63,CITY-LOS ANGELES,"18415 COLLINS ST UNIT C LOS ANGELES CA 91356
6545",18415 COLLINS ST UNIT C LOS ANGELES CA 91356,,
1512,2160-017-072,"$30,880",Y,547,*TR=34779 CONDOMINIUM*UNIT 307,CITY-LOS ANGELES,"5339 LINDLEY AVE NO 307 LOS ANGELES CA 91356
3721",5339 LINDLEY AVE NO 307 LOS ANGELES CA 91356,,
1513,2162-009-121,"$26,014",Y,539,TR=33625 LOT 4 CONDOMINIUM*UNIT 3,CITY-LOS ANGELES,"5400 NEWCASTLE AVE NO 3 LOS ANGELES CA 91316
2027",5400 NEWCASTLE AVE NO 3 LOS ANGELES CA 91316,,
1514,2172-010-066,"$25,441",,536,TR=6170 LOT 4924,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1515,2172-017-081,"$17,516",,536,TR=6170 POR OF LOT 5049 BLK 41,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1516,2181-012-018,"$40,879",Y,547,TRACT # 15675 LOT 36,CITY-LOS ANGELES,5217 ETIWANDA AVE LOS ANGELES CA 91356 4335,5217 ETIWANDA AVE LOS ANGELES CA 91356,34.1651233,-118.5309081
1517,2184-024-026,"$6,437",,529,"TRACT # 22117 LOT ON E LINE OF GRIMES PL COM N THEREON 41.45 FT FROM SW
COR OF LOT 18 TH N ON SD E LINE 10.03 FT TH S 68¢52'55"" E TO NE LINE OF LOT 17
TH SE THEREON TO A PT S 68¢52'55"" E FROM BEG TH N 68¢52'55"" W TO BEG PART
OF LOTS 17 AND LOT 18",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1518,2184-030-028,"$2,196",,529,"TRACT # 21262 LOT COM AT MOST W COR OF LOT 21 TH S 38¢00'36"" E 163.63 FT TH
S 42¢21'27"" E 99.12 FT TO SW LINE OF SD LOT TH NW THEREON TO BEG PART OF
LOT 21",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1519,2184-032-015,"$284,706",Y,529,TRACT NO 27365 LOT 31,CITY-LOS ANGELES,4167 ALONZO AVE LOS ANGELES CA 91316 4302,4167 ALONZO AVE LOS ANGELES CA 91316,34.1471081,-118.5237298
1520,2190-009-032,"$7,237",,536,TRACT NO 6170 LOT 4559,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1521,2203-017-014,"$59,641",Y,536,TRACT # 18386 LOT 7,CITY-LOS ANGELES,7421 OSTROM AVE LOS ANGELES CA 91406 2526,7421 OSTROM AVE LOS ANGELES CA 91406,34.2051612,-118.5077343
1522,2206-037-101,"$7,966",,536,TR=51650 LOT 1,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1523,2206-037-125,"$25,463",,536,TR=51649 EX OF ST LOT 1,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1526,2222-003-012,"$13,021",Y,536,TRACT # 15729 LOT 52,CITY-LOS ANGELES,7810 LANGDON AVE LOS ANGELES CA 91406 2010,7810 LANGDON AVE LOS ANGELES CA 91406,34.212225,-118.4694981
1528,2235-003-049,"$47,572",Y,536,TRACT # 14536 LOT 15,CITY-LOS ANGELES,6627 BURNET AVE LOS ANGELES CA 91405 4515,6627 BURNET AVE LOS ANGELES CA 91405,34.19083,-118.4630073
1530,2254-034-018,"$10,735",Y,539,TRACT # 15346 LOT 500,CITY-LOS ANGELES,5900 LASAINE AVE LOS ANGELES CA 91316 1352,5900 LASAINE AVE LOS ANGELES CA 91316,34.17769,-118.51033
1531,2257-019-021,"$34,317",Y,539,TR=45755 LOT 1 CONDOUNIT E 107,CITY-LOS ANGELES,"5460 WHITE OAK AVE NO E-107 LOS ANGELES CA
91316 2410",5460 WHITE OAK AVE NO E-107 LOS ANGELES CA 91316,,
1532,2257-020-223,"$33,662",Y,539,TR=45755 LOT 1 CONDOUNIT D 312,CITY-LOS ANGELES,"5460 WHITE OAK AVE NO D-312 LOS ANGELES CA
91316 4564",5460 WHITE OAK AVE NO D-312 LOS ANGELES CA 91316,,
1533,2266-010-016,"$91,141",Y,536,"TRACT NO 1000 0.28 MORE OR LESS AC COM N 25¢56'30"" E 386.16 FT FROM MOST S
COR OF LOT 610 TR NO 5822 TH N 25¢56'30"" E 66 FT TH S 59¢ E 176.98 FT TH SW ON
NW LINE OF CAMINO DE LA CUMBRE 68.55 FT TH N 59¢ W 190.59 FT TO BEG PART
OF LOT 1108",CITY-LOS ANGELES,"4145 CAMINO DE LA CUMBRE LOS ANGELES CA
91423 4023",4145 CAMINO DE LA CUMBRE LOS ANGELES CA 91423,34.1466816,-118.4419744
1534,2274-016-017,"$41,937",,512,"TRACT # 9426 LOT COM AT MOST N COR OF LOT 184 TH S 72¢18' E TO NW LINE OF
TR # 23360 TH SW THEREON TO SW LINE OF SD LOT TH NW AND FOLLOWING BDRY
LINE OF SD LOT TO BEG PART OF LOT 184",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1537,2277-019-008,"$2,252",,536,"TRACT # 6984 THAT POR N OF A LINE EXTENDING FROM A PT IN W LINE OF LOT 74
DIST N 33.5 FT FROM MOST S COR THEREOF TO A PT IN E LINE OF SD LOT DIST N
THEREON 29.40 FT FROM SE COR THEREOF OF LOT 74",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1539,2291-012-016,"$49,076",,539,TRACT # 17772 LOT 59,CITY-LOS ANGELES,"16950 STRAWBERRY DR LOS ANGELES CA 91436
3857",16950 STRAWBERRY DR LOS ANGELES CA 91436,34.144839,-118.500952
1540,2305-026-037,"$47,717",Y,536,TR=1212*FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 48,CITY-LOS ANGELES,7425 BELLAIRE AVE LOS ANGELES CA 91605 4304,7425 BELLAIRE AVE LOS ANGELES CA 91605,34.2059763,-118.4095997
1541,2310-022-012,"$5,449",Y,536,TRACT NO 7529 E 50 FT OF W 140 FT OF LOT 9,CITY-LOS ANGELES,11821 ARMINTA ST LOS ANGELES CA 91605 2502,11821 ARMINTA ST LOS ANGELES CA 91605,34.2139846,-118.3904989
1545,2319-020-013,"$44,485",Y,536,TRACT # 11493 LOT 26,CITY-LOS ANGELES,11123 LEMAY ST LOS ANGELES CA 91606 2008,11123 LEMAY ST LOS ANGELES CA 91606,34.1911488,-118.3735284
1547,2331-011-125,"$14,103",Y,539,*TR=1336*COLDWATER ARDMORE CO-OP ESTATES INC CO-OP*APT 6259-14,CITY-LOS ANGELES,"6259 COLDWATER CANYON AVE UNIT 14 LOS
ANGELES CA 91606 3036",6259 COLDWATER CANYON AVE UNIT 14 LOS ANGELES CA 91606,,
1548,2334-002-030,"$22,964",Y,536,"PROPERTY OF THE LANKERSHIM RANCH LAND AND WATER CO LOT COM N
37¢39'06"" W 268.57 FT FROM INTERSECTION OF S LINE OF LOT 108 WITH NE LINE
OF LAND DESC IN OR10874-89 TO L A CITY TH NW ON SD NE LINE 37.32 FT TH N
0¢03'04"" W 62.67 FT TH E 180 FT TH S 0¢03'04"" E 100 FT TH W TO BEG PART OF LOT
108",CITY LOS ANGELES,VACANT LOT,VACANT LOT,,
1550,2338-020-019,"$66,365",Y,536,TRACT # 7637 LOT 150,CITY-LOS ANGELES,5734 LEMP AVE LOS ANGELES CA 91601 1640,5734 LEMP AVE LOS ANGELES CA 91601,34.1746347,-118.3843667
1552,2350-010-051,"$104,889",Y,536,TR=1455 POR OF LOT 19,CITY-LOS ANGELES,"11463 CHANDLER BLVD LOS ANGELES CA 91601
2617",11463 CHANDLER BLVD LOS ANGELES CA 91601,,
1553,2350-010-052,"$104,939",Y,536,TR=1455 POR OF LOT 19,CITY-LOS ANGELES,"11461 CHANDLER BLVD LOS ANGELES CA 91601
2617",11461 CHANDLER BLVD LOS ANGELES CA 91601,34.1689542,-118.380956
1554,2353-021-033,"$46,788",Y,536,TR=8194 EX OF STS LOT 35,CITY-LOS ANGELES,"11241 PEACH GROVE ST LOS ANGELES CA 91601
4519",11241 PEACH GROVE ST LOS ANGELES CA 91601,34.1592059,-118.3759724
1555,2354-004-036,"$13,067",Y,536,TRACT # 10711 LOT 10,CITY-LOS ANGELES,11535 HARTSOOK ST LOS ANGELES CA 91601 3614,11535 HARTSOOK ST LOS ANGELES CA 91601,34.1640456,-118.3839042
1558,2386-017-016,"$7,864",,512,"TRACT # 5571 LOT COM AT MOST W COR OF LAND DESC IN DOC # 1489,2-11-57 TO
JOSEPH KAUFMAN TH S 35¢54'20"" E 55.34 FT TH S 15¢23'16"" W 53.46 FT TH S 31¢03'
30"" W TO NE LINE OF KOSTER AVE TH NW THEREON 121.12 FT TH N 60¢54'10"" E TO
BEG PART OF LOT 3",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1559,2401-003-036,"$2,941",,513,"OFFICIAL MAP OF LOS ANGELES COUNTY AS PER BK 2 PG 49 TO 56 OF O M LOT 9
DIV 115 REG 18",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1560,2404-020-042,"$1,986",,536,TR=8786 POR OF LOT 42,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1561,2404-025-050,"$4,475",Y,536,*TR=22684*ORPHEUM INC CO-OP*APT 28,CITY-LOS ANGELES,"10749 NEW HAVEN ST UNIT 28 LOS ANGELES CA
91352 3427",10749 NEW HAVEN ST UNIT 28 LOS ANGELES CA 91352,,
1562,2405-021-015,"$4,861",Y,513,TRACT # 17309 LOT 44,CITY-LOS ANGELES,"7516 BLOOMINGTON AVE LOS ANGELES CA 91504
1001",7516 BLOOMINGTON AVE LOS ANGELES CA 91504,34.2086653,-118.345191
1568,2417-013-008,"$62,766",Y,536,TRACT # 11107 LOT 8,CITY-LOS ANGELES,10357 MARGATE ST LOS ANGELES CA 91601 3516,10357 MARGATE ST LOS ANGELES CA 91601,34.167645,-118.3566573
1569,2424-033-004,"$11,672",Y,536,TRACT NO 8064 LOT B BLK 10,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1570,2427-008-015,"$3,300",,553,"TRACT # 8361 LOT COM AT MOST W COR OF LOT 12 BLK E TH N 50¢48' E 35.43 FT TH
S 30¢ 35'12"" E 4.54 FT TH S ON A CURVE CONCAVE TO W RADIUS EQUALS 63.12 FT
TO SW LINE OF SD LOT TH NW THEREON TO BEG PART OF LOT 12 BLK E",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1571,2427-008-041,"$52,695",,553,TR=8361 LOT 4 AND POR OF LOT 5 BLK E,CITY-LOS ANGELES,2981 PASSMORE DR LOS ANGELES CA 90068 1716,2981 PASSMORE DR LOS ANGELES CA 90068,34.1261593,-118.3517074
1572,2428-027-018,"$2,047",,553,TRACT NO 1450 LOT 369,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1573,2428-028-024,"$2,477",,553,TRACT NO 1450 LOT 338,CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1574,2429-004-013,"$7,825",,539,"TRACT # 9168 LOT COM N 37¢00'40"" E 20.83 FT FROM MOST W COR OF LOT 9 TH S
36¢48' 10"" E 43.5 FT TH S 10¢ W 14.63 FT TH N 81¢08'50"" E TO A LINE PARALLEL WITH
AND DIST W AT R/A 14 FT FROM E LINE OF SD LOT TH N 3¢55' E TO NW LINE OF SD
LOT TH SW THEREON TO BEG PART OF LOT 9",CITY-LOS ANGELES,VACANT LOT,VACANT LOT,,
1576,2436-006-014,"$84,338",Y,513,TRACT NO 1O229 LOT 32,CITY-BURBANK,1803 N SCREENLAND DR BURBANK CA 91505 1440,1803 N SCREENLAND DR BURBANK CA 91505,34.1812795,-118.3515134
1577,2449-011-013,"$6,234",Y,513,TRACT # 3419 NE 50 FT OF SE 100 FT OF NW 120 FT OF LOT 5,CITY-BURBANK S S,VACANT LOT,VACANT LOT,,
1579,2460-012-038,"$3,540",Y,513,"TRACT NO 9122 LOTS 16,17 AND LOT 18 BLK 2",CITY-BURBANK,"1627 N SAN FERNANDO BLVD BURBANK CA 91504
4123",1627 N SAN FERNANDO BLVD BURBANK CA 91504,,
1580,2471-055-051,"$10,957",,513,TR=35035 FOR DESC SEE ASSESSOR'S MAPS POR OF LOTS 2 AND 135,CITY-BURBANK,VACANT LOT,VACANT LOT,,
1583,2503-001-030,"$93,719",Y,536,"*THE MACLAY RANCHO*1.30 MORE OR LESS ACS COM N 47¢01' W 300 FT FROM
MOST S COR OF BLK 28 TH N 47¢01' W 150 FT TH N 42¢58' 11"" E 200 FT TH N 47¢01'
W 109 FT TH N 42¢58'11"" E TO SW LINE OF WILSON CANYON CHANNEL PER
FM12413-3 TH SE THEREON TO A PT N 42¢58'11"" E FROM BEG TH S 42¢58' 11"" W TO
BEG POR OF BLK 28",CITY-LOS ANGELES,"13742 GLADSTONE AVE LOS ANGELES CA 91342
1509",13742 GLADSTONE AVE LOS ANGELES CA 91342,34.3217253,-118.4421917
